"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9309","Accessibility — Japan eSIM Page WCAG 2.1 AA","chromium","Sat Mar 28 14:50:38 UTC 2026","failed","Sat Mar 28 14:50:47 UTC 2026","","a11y/airalo-a11y.spec.ts","",""
"","7360","Japan eSIM — search → unlimited 7 days → verify price at Buy Now","chromium","Sat Mar 28 14:50:14 UTC 2026","passed","Sat Mar 28 14:50:21 UTC 2026","","e2e/airalo-flow.spec.ts","",""
"","6726","Japan eSIM — Standard tab packages & tab switching","chromium","Sat Mar 28 14:50:21 UTC 2026","passed","Sat Mar 28 14:50:28 UTC 2026","","e2e/airalo-flow.spec.ts","",""
"","9265","Accessibility — Homepage WCAG 2.1 AA","chromium","Sat Mar 28 14:50:17 UTC 2026","failed","Sat Mar 28 14:50:26 UTC 2026","","a11y/airalo-a11y.spec.ts","",""
"","5362","Homepage search — autocomplete, case-insensitive, invalid input [Japan]","chromium","Sat Mar 28 14:50:28 UTC 2026","passed","Sat Mar 28 14:50:33 UTC 2026","","e2e/airalo-flow.spec.ts","",""
"","1066","Core Web Vitals — Airalo Homepage","chromium","Sat Mar 28 14:50:13 UTC 2026","passed","Sat Mar 28 14:50:14 UTC 2026","","perf/airalo-perf.spec.ts","",""
